customer_age,tenure_years,monthly_charges,support_calls,contract_type,internet_service,payment_method,online_security,tech_support,churn
29,9,110.9,0,Two year,Fiber optic,Electronic check,No,Yes,0
39,8,37.97,2,Two year,Fiber optic,Electronic check,Yes,No,0
61,0,43.75,1,Month-to-month,DSL,Electronic check,Yes,No,0
42,3,117.14,6,Two year,DSL,Bank transfer,No,No,1
66,8,38.1,3,One year,No,Electronic check,No,No,0
44,3,105.44,1,One year,DSL,Mailed check,No,Yes,0
59,9,69.23,4,Month-to-month,Fiber optic,Credit card,Yes,No,1
45,2,44.72,1,One year,No,Mailed check,No,No,0
33,8,107.07,1,Two year,DSL,Credit card,No,No,0
32,1,64.53,1,Two year,Fiber optic,Mailed check,Yes,No,1
64,3,71.48,3,Month-to-month,Fiber optic,Mailed check,No,Yes,0
68,5,55.92,1,Month-to-month,No,Credit card,Yes,Yes,0
61,1,79.3,4,Month-to-month,No,Bank transfer,Yes,No,1
69,7,36.35,3,Two year,Fiber optic,Electronic check,Yes,Yes,0
20,7,59.11,1,One year,DSL,Mailed check,Yes,No,0
54,0,116.94,2,Month-to-month,Fiber optic,Bank transfer,No,Yes,1
68,2,45.81,5,Month-to-month,Fiber optic,Electronic check,No,Yes,1
24,9,85.67,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
38,8,52.52,4,Month-to-month,DSL,Bank transfer,No,No,0
26,4,97.35,5,Two year,DSL,Electronic check,Yes,Yes,0
56,5,33.09,1,One year,Fiber optic,Mailed check,No,No,0
35,3,116.98,3,Month-to-month,Fiber optic,Bank transfer,No,No,1
21,9,65.38,6,Month-to-month,DSL,Mailed check,Yes,Yes,1
42,1,43.61,2,Month-to-month,Fiber optic,Mailed check,No,No,1
31,10,27.35,4,Two year,No,Mailed check,No,No,0
67,7,36.98,5,Month-to-month,Fiber optic,Electronic check,No,No,0
26,10,71.98,4,Month-to-month,DSL,Credit card,No,No,0
43,5,53.7,1,Month-to-month,DSL,Mailed check,Yes,Yes,0
70,4,102.89,2,One year,DSL,Credit card,Yes,Yes,0
19,8,63.09,1,One year,No,Credit card,Yes,No,0
37,0,44.87,4,One year,Fiber optic,Bank transfer,No,Yes,1
45,4,81.71,3,Month-to-month,Fiber optic,Mailed check,No,No,0
64,5,90.68,6,Month-to-month,Fiber optic,Mailed check,No,No,1
24,4,36.7,1,Month-to-month,Fiber optic,Mailed check,Yes,Yes,0
61,5,36.76,2,One year,Fiber optic,Credit card,Yes,No,0
25,5,23.67,1,Month-to-month,Fiber optic,Electronic check,No,Yes,0
64,6,93.64,2,One year,DSL,Credit card,No,Yes,1
52,3,86.38,3,Two year,DSL,Mailed check,Yes,Yes,0
31,10,67.46,3,Two year,Fiber optic,Mailed check,No,No,0
34,7,104.42,0,Month-to-month,No,Mailed check,No,Yes,1
53,6,100.57,2,Month-to-month,DSL,Credit card,No,No,1
67,8,78.54,3,Month-to-month,No,Mailed check,No,No,1
57,6,106.83,3,One year,Fiber optic,Bank transfer,Yes,No,1
21,2,40.58,4,Two year,DSL,Mailed check,No,No,0
19,2,31.19,1,Month-to-month,DSL,Electronic check,No,No,0
23,7,46.97,3,Month-to-month,DSL,Bank transfer,Yes,Yes,0
59,4,25.71,0,Two year,Fiber optic,Mailed check,Yes,No,0
21,3,73.12,3,Two year,DSL,Bank transfer,No,No,1
46,7,113.66,3,Month-to-month,Fiber optic,Mailed check,Yes,No,1
35,5,23.93,2,One year,Fiber optic,Electronic check,Yes,No,0
43,1,32.21,1,Month-to-month,Fiber optic,Mailed check,No,No,0
61,3,65.22,1,Month-to-month,DSL,Bank transfer,Yes,No,1
51,10,113.39,2,Two year,Fiber optic,Electronic check,No,No,1
27,3,51.62,1,Two year,Fiber optic,Credit card,Yes,No,0
53,5,70.72,2,One year,Fiber optic,Electronic check,No,No,0
31,5,24.16,1,Month-to-month,Fiber optic,Electronic check,Yes,Yes,0
48,0,34.83,2,Two year,DSL,Electronic check,Yes,No,0
65,7,118.66,0,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
32,5,116.51,1,Month-to-month,Fiber optic,Electronic check,No,No,0
25,2,20.49,4,Month-to-month,Fiber optic,Mailed check,No,No,0
31,8,115.18,3,Month-to-month,Fiber optic,Electronic check,Yes,No,1
40,1,83.91,3,One year,Fiber optic,Electronic check,No,Yes,0
57,10,106.79,1,One year,DSL,Mailed check,No,No,1
38,7,65.47,2,Month-to-month,Fiber optic,Mailed check,No,No,0
33,9,71.56,5,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
62,2,68.88,2,Month-to-month,Fiber optic,Electronic check,No,No,1
35,4,86.69,3,Month-to-month,DSL,Bank transfer,Yes,No,1
64,5,33.97,1,One year,No,Electronic check,Yes,No,0
70,9,23.0,2,Two year,Fiber optic,Electronic check,No,Yes,0
41,5,50.79,4,Month-to-month,DSL,Mailed check,No,No,0
43,3,90.47,3,Month-to-month,Fiber optic,Credit card,Yes,No,1
42,2,40.19,3,One year,Fiber optic,Electronic check,Yes,No,1
62,3,87.34,3,Two year,Fiber optic,Bank transfer,No,Yes,1
58,0,116.99,2,Month-to-month,Fiber optic,Electronic check,No,No,1
46,3,29.39,2,Month-to-month,No,Bank transfer,Yes,No,0
32,0,87.26,0,One year,DSL,Mailed check,No,No,0
62,0,64.38,1,Month-to-month,Fiber optic,Credit card,Yes,No,0
18,9,106.81,2,Month-to-month,No,Electronic check,Yes,Yes,0
42,5,37.71,2,One year,No,Credit card,No,No,0
24,4,89.26,1,One year,Fiber optic,Electronic check,Yes,No,0
26,10,103.81,2,One year,No,Bank transfer,Yes,No,0
41,3,114.46,1,One year,DSL,Credit card,No,No,0
18,10,88.32,4,One year,No,Electronic check,No,No,0
61,2,69.72,4,Month-to-month,DSL,Mailed check,Yes,Yes,1
25,0,81.78,0,Month-to-month,DSL,Bank transfer,No,No,1
41,5,106.89,2,Month-to-month,DSL,Credit card,No,Yes,0
28,1,77.06,1,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
68,7,23.04,3,One year,DSL,Credit card,No,No,0
34,9,113.09,1,Two year,DSL,Electronic check,Yes,No,0
25,4,88.95,4,Two year,DSL,Bank transfer,Yes,No,0
52,6,87.65,4,One year,DSL,Mailed check,No,No,0
52,9,41.57,1,Month-to-month,Fiber optic,Bank transfer,No,No,0
50,1,85.89,1,Month-to-month,Fiber optic,Credit card,Yes,No,1
22,7,59.39,3,Two year,DSL,Credit card,Yes,No,0
59,1,85.12,6,One year,Fiber optic,Electronic check,No,Yes,1
56,3,30.66,1,One year,No,Bank transfer,Yes,No,0
58,0,85.78,1,One year,Fiber optic,Electronic check,Yes,No,1
45,4,119.94,3,One year,DSL,Bank transfer,Yes,No,1
24,8,24.82,4,Two year,Fiber optic,Credit card,No,Yes,0
26,0,117.72,2,Month-to-month,DSL,Electronic check,Yes,Yes,1
25,8,60.69,3,One year,DSL,Electronic check,Yes,Yes,0
29,10,107.08,1,Two year,DSL,Bank transfer,No,Yes,0
51,7,98.24,2,Month-to-month,Fiber optic,Mailed check,No,No,1
50,5,76.7,3,One year,DSL,Bank transfer,No,Yes,0
65,6,93.84,1,Month-to-month,DSL,Mailed check,Yes,Yes,1
40,2,107.85,2,Two year,DSL,Bank transfer,No,Yes,1
41,0,60.41,2,Month-to-month,No,Credit card,Yes,Yes,1
54,4,52.7,1,One year,Fiber optic,Electronic check,Yes,Yes,0
52,1,86.76,1,Month-to-month,DSL,Bank transfer,No,No,1
61,4,100.78,6,One year,Fiber optic,Credit card,Yes,No,1
57,7,96.23,5,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,1
39,10,99.78,2,Month-to-month,Fiber optic,Electronic check,Yes,No,0
44,8,63.56,3,Month-to-month,DSL,Bank transfer,Yes,No,0
52,1,101.78,6,Two year,No,Mailed check,Yes,Yes,1
18,2,32.02,2,Month-to-month,DSL,Electronic check,No,No,0
52,2,74.45,2,Month-to-month,Fiber optic,Mailed check,Yes,No,1
54,0,20.58,3,One year,DSL,Credit card,Yes,No,0
64,7,52.46,0,Month-to-month,Fiber optic,Credit card,Yes,No,0
31,5,56.65,2,Two year,Fiber optic,Bank transfer,No,Yes,0
20,7,59.62,2,Month-to-month,Fiber optic,Mailed check,No,No,1
18,10,89.55,2,One year,DSL,Mailed check,Yes,No,0
22,8,58.86,1,Month-to-month,Fiber optic,Electronic check,No,No,0
43,4,64.87,2,Month-to-month,DSL,Mailed check,Yes,Yes,0
31,2,43.75,2,One year,Fiber optic,Mailed check,Yes,No,1
56,4,57.33,1,One year,Fiber optic,Electronic check,Yes,No,0
44,4,42.73,3,One year,Fiber optic,Electronic check,Yes,No,0
26,4,27.32,5,Month-to-month,Fiber optic,Mailed check,Yes,Yes,0
32,2,80.34,3,Month-to-month,Fiber optic,Bank transfer,No,No,1
32,10,86.82,2,Month-to-month,Fiber optic,Electronic check,Yes,No,0
43,9,81.95,2,Two year,Fiber optic,Electronic check,No,No,0
59,3,66.35,0,Month-to-month,DSL,Mailed check,Yes,No,1
30,8,57.98,2,Month-to-month,Fiber optic,Mailed check,Yes,No,0
68,9,106.33,4,Month-to-month,Fiber optic,Electronic check,Yes,No,1
49,8,71.91,2,One year,Fiber optic,Mailed check,No,No,1
56,1,67.92,6,Month-to-month,DSL,Electronic check,Yes,No,1
66,7,22.56,2,Two year,Fiber optic,Bank transfer,No,No,0
69,7,54.12,2,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,1
49,6,58.02,0,Two year,No,Electronic check,Yes,No,0
21,7,59.88,0,Month-to-month,Fiber optic,Electronic check,Yes,No,0
47,2,78.02,5,One year,Fiber optic,Credit card,Yes,No,1
54,5,73.36,3,Two year,No,Credit card,Yes,No,0
40,0,80.79,3,Month-to-month,DSL,Mailed check,Yes,No,0
56,6,96.49,0,Two year,DSL,Mailed check,No,No,0
62,0,101.3,1,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
32,8,91.81,0,Two year,Fiber optic,Electronic check,No,No,0
60,0,115.55,2,One year,No,Credit card,Yes,Yes,0
46,0,21.82,2,Month-to-month,Fiber optic,Credit card,No,Yes,0
53,6,39.58,1,Month-to-month,DSL,Electronic check,No,No,0
30,1,20.76,0,Month-to-month,Fiber optic,Bank transfer,Yes,No,0
49,4,84.75,3,Month-to-month,DSL,Bank transfer,Yes,No,1
24,7,109.8,3,Month-to-month,DSL,Mailed check,No,Yes,1
68,7,44.35,3,Month-to-month,Fiber optic,Electronic check,No,Yes,0
39,2,112.7,5,Month-to-month,DSL,Electronic check,Yes,No,1
45,6,26.03,2,One year,Fiber optic,Mailed check,Yes,No,0
19,2,113.44,2,Month-to-month,Fiber optic,Credit card,No,Yes,1
59,5,55.16,3,Month-to-month,Fiber optic,Credit card,Yes,No,1
62,5,30.14,2,One year,DSL,Bank transfer,No,No,0
70,2,68.59,2,Month-to-month,DSL,Electronic check,Yes,No,0
23,6,45.68,2,Month-to-month,DSL,Credit card,Yes,No,0
45,2,48.49,7,Month-to-month,No,Bank transfer,No,Yes,1
45,7,50.73,3,Two year,Fiber optic,Bank transfer,No,No,0
61,9,100.3,3,Two year,Fiber optic,Bank transfer,Yes,No,0
61,3,73.92,5,Month-to-month,DSL,Credit card,No,Yes,1
37,0,51.13,2,One year,No,Credit card,No,No,0
47,3,81.03,1,Month-to-month,DSL,Electronic check,No,No,1
28,6,91.62,1,One year,DSL,Electronic check,Yes,No,0
45,10,47.26,3,One year,Fiber optic,Bank transfer,No,Yes,0
42,3,61.35,4,One year,No,Bank transfer,No,Yes,0
56,5,32.19,3,Month-to-month,DSL,Credit card,No,Yes,0
50,8,38.11,3,Month-to-month,DSL,Credit card,No,No,0
18,0,88.11,2,Month-to-month,No,Electronic check,Yes,No,1
44,4,38.14,4,Two year,DSL,Electronic check,No,Yes,0
69,10,72.52,4,One year,DSL,Mailed check,No,No,1
30,6,90.9,1,Two year,Fiber optic,Electronic check,Yes,No,0
58,0,30.69,2,Two year,No,Credit card,Yes,No,0
20,3,76.73,2,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
56,5,45.66,2,One year,No,Mailed check,No,No,0
23,1,116.29,2,One year,Fiber optic,Electronic check,Yes,No,1
25,9,68.35,2,Two year,DSL,Electronic check,No,No,0
44,4,100.6,4,Two year,No,Credit card,No,Yes,0
26,10,75.02,1,One year,Fiber optic,Mailed check,No,Yes,1
54,9,24.34,1,Month-to-month,DSL,Electronic check,No,Yes,0
50,0,83.32,1,One year,Fiber optic,Bank transfer,No,No,1
68,5,115.14,2,Month-to-month,DSL,Credit card,Yes,Yes,1
59,5,80.16,1,One year,DSL,Mailed check,No,Yes,0
61,3,101.92,1,Two year,DSL,Electronic check,Yes,No,0
41,7,108.42,3,Month-to-month,Fiber optic,Electronic check,No,Yes,1
32,3,42.81,2,One year,Fiber optic,Mailed check,Yes,Yes,0
49,7,41.2,1,Month-to-month,Fiber optic,Credit card,No,Yes,0
49,7,81.1,1,Month-to-month,No,Mailed check,No,No,0
41,4,61.1,3,Month-to-month,DSL,Mailed check,No,Yes,1
58,3,103.99,0,One year,DSL,Credit card,Yes,No,0
69,1,110.0,2,Two year,DSL,Electronic check,Yes,No,0
66,10,55.34,3,Two year,DSL,Bank transfer,No,No,0
66,2,43.69,0,Month-to-month,DSL,Credit card,Yes,No,0
69,2,98.05,4,Two year,Fiber optic,Bank transfer,No,No,1
29,3,47.48,1,One year,No,Electronic check,Yes,Yes,0
56,3,102.26,3,Month-to-month,No,Mailed check,No,Yes,1
19,9,62.37,2,Month-to-month,DSL,Bank transfer,Yes,Yes,0
20,10,86.75,2,Month-to-month,No,Electronic check,No,Yes,0
66,10,29.55,3,Two year,DSL,Electronic check,No,Yes,0
54,4,82.39,2,One year,DSL,Mailed check,Yes,Yes,0
66,3,65.18,3,One year,No,Mailed check,Yes,No,0
34,10,78.66,2,Month-to-month,Fiber optic,Electronic check,Yes,No,0
66,9,36.8,0,One year,DSL,Electronic check,No,Yes,0
19,7,93.69,1,Month-to-month,Fiber optic,Bank transfer,No,No,0
19,5,106.28,3,Month-to-month,DSL,Electronic check,No,Yes,1
45,5,41.67,2,One year,Fiber optic,Electronic check,No,Yes,0
40,7,29.57,3,Month-to-month,Fiber optic,Bank transfer,Yes,No,0
54,6,22.36,1,Two year,No,Credit card,Yes,Yes,0
49,9,84.2,3,Month-to-month,DSL,Bank transfer,Yes,Yes,0
50,10,80.71,1,One year,Fiber optic,Bank transfer,Yes,No,0
18,9,74.67,1,Month-to-month,Fiber optic,Mailed check,No,No,0
36,7,43.19,0,One year,Fiber optic,Bank transfer,No,No,0
19,1,59.09,4,Month-to-month,DSL,Electronic check,Yes,Yes,0
70,8,79.45,6,Month-to-month,Fiber optic,Electronic check,No,No,1
61,0,69.68,4,Two year,No,Electronic check,No,No,1
43,7,118.78,3,Month-to-month,No,Credit card,Yes,No,1
49,10,33.64,1,Two year,Fiber optic,Electronic check,Yes,No,0
23,3,89.51,5,Two year,No,Credit card,Yes,No,0
49,3,60.43,3,Month-to-month,Fiber optic,Electronic check,No,Yes,1
21,4,62.82,1,Month-to-month,Fiber optic,Bank transfer,No,No,0
28,7,91.76,2,One year,DSL,Mailed check,No,No,1
34,4,89.24,0,Two year,Fiber optic,Electronic check,Yes,No,0
55,7,119.13,2,Two year,DSL,Credit card,Yes,No,0
41,9,32.84,2,Month-to-month,Fiber optic,Credit card,No,No,0
22,0,30.41,3,One year,DSL,Mailed check,No,No,0
69,9,92.43,1,Month-to-month,No,Electronic check,No,No,0
51,8,77.84,0,Two year,DSL,Bank transfer,No,No,0
23,5,47.42,2,Two year,DSL,Electronic check,Yes,No,0
39,2,27.94,2,Month-to-month,Fiber optic,Electronic check,No,Yes,0
28,7,28.57,1,Month-to-month,DSL,Mailed check,No,Yes,0
65,8,109.42,2,Month-to-month,DSL,Electronic check,Yes,No,0
33,5,39.19,2,Month-to-month,DSL,Bank transfer,No,No,1
50,10,52.34,4,Two year,Fiber optic,Credit card,Yes,No,0
26,6,42.67,4,Month-to-month,Fiber optic,Mailed check,Yes,No,0
23,0,55.5,2,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
33,4,26.94,3,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
46,4,71.91,4,Two year,Fiber optic,Mailed check,Yes,No,1
20,9,26.76,2,One year,DSL,Mailed check,Yes,Yes,0
37,3,100.04,1,Month-to-month,DSL,Credit card,No,Yes,1
53,5,43.37,1,Month-to-month,Fiber optic,Credit card,No,Yes,0
36,6,74.0,3,Two year,DSL,Bank transfer,Yes,Yes,0
43,8,108.01,0,Two year,DSL,Electronic check,Yes,No,0
20,0,85.09,0,Month-to-month,Fiber optic,Electronic check,No,Yes,1
36,5,73.3,2,Month-to-month,Fiber optic,Electronic check,Yes,No,0
37,6,52.43,1,Month-to-month,DSL,Electronic check,Yes,Yes,0
49,2,53.3,2,Month-to-month,DSL,Electronic check,No,No,1
24,7,86.95,1,One year,No,Bank transfer,No,Yes,0
69,4,119.41,1,Two year,No,Mailed check,No,No,0
58,8,86.18,3,Month-to-month,Fiber optic,Bank transfer,No,No,1
50,4,75.78,2,Two year,Fiber optic,Bank transfer,Yes,Yes,0
57,8,93.07,2,Month-to-month,Fiber optic,Bank transfer,No,No,1
56,9,66.52,4,One year,No,Mailed check,Yes,No,0
35,3,26.01,1,One year,No,Bank transfer,Yes,No,1
57,8,76.23,1,Month-to-month,DSL,Bank transfer,Yes,Yes,1
18,4,115.76,1,Month-to-month,Fiber optic,Mailed check,No,No,1
28,9,37.53,1,One year,DSL,Bank transfer,Yes,No,0
45,8,89.0,2,Month-to-month,DSL,Electronic check,No,Yes,1
42,2,40.09,1,Month-to-month,Fiber optic,Credit card,No,Yes,0
67,3,73.58,1,Month-to-month,Fiber optic,Bank transfer,No,No,0
40,8,29.67,4,Two year,No,Credit card,No,No,0
48,9,65.04,0,Month-to-month,DSL,Bank transfer,No,No,0
47,10,95.62,5,Two year,Fiber optic,Bank transfer,No,No,1
59,5,54.76,3,Month-to-month,No,Electronic check,Yes,No,0
52,1,86.49,3,One year,No,Mailed check,No,Yes,1
24,6,99.54,3,One year,DSL,Credit card,No,Yes,0
33,1,112.72,0,Two year,Fiber optic,Mailed check,No,No,1
43,10,43.46,4,Month-to-month,Fiber optic,Electronic check,No,No,0
65,1,59.93,1,One year,DSL,Electronic check,No,Yes,0
69,10,35.24,4,One year,No,Credit card,No,No,0
66,0,119.25,1,Month-to-month,No,Mailed check,No,No,1
19,10,112.7,2,Month-to-month,DSL,Electronic check,No,No,0
18,10,74.0,3,Month-to-month,DSL,Bank transfer,Yes,No,0
65,10,104.2,1,Month-to-month,DSL,Bank transfer,No,No,0
29,2,72.1,2,Two year,No,Bank transfer,No,Yes,0
22,5,82.36,0,Month-to-month,DSL,Mailed check,No,No,0
54,7,28.91,3,Month-to-month,Fiber optic,Bank transfer,No,No,0
49,8,95.53,5,One year,Fiber optic,Bank transfer,Yes,No,0
26,6,32.77,1,Month-to-month,Fiber optic,Electronic check,No,No,0
58,3,102.61,2,Month-to-month,DSL,Electronic check,No,No,1
52,5,98.2,4,Month-to-month,DSL,Bank transfer,No,Yes,1
36,4,90.87,5,Two year,No,Bank transfer,Yes,Yes,0
65,7,23.62,2,Two year,No,Electronic check,No,No,0
33,0,50.31,1,Two year,Fiber optic,Credit card,No,Yes,0
20,0,46.31,1,Month-to-month,DSL,Mailed check,Yes,Yes,0
37,10,56.01,3,One year,DSL,Mailed check,Yes,No,0
41,5,28.76,0,Month-to-month,Fiber optic,Electronic check,Yes,No,0
50,9,113.7,5,Month-to-month,DSL,Mailed check,No,Yes,1
41,1,75.38,3,Month-to-month,No,Electronic check,Yes,No,1
69,4,50.55,1,One year,Fiber optic,Electronic check,Yes,No,0
28,0,59.7,2,Month-to-month,DSL,Electronic check,No,No,0
66,6,64.72,2,Month-to-month,No,Electronic check,Yes,No,0
25,0,80.06,3,Month-to-month,No,Credit card,Yes,No,0
53,3,71.57,0,Month-to-month,DSL,Bank transfer,No,Yes,0
55,8,111.94,3,One year,Fiber optic,Bank transfer,No,Yes,1
57,0,69.7,1,Month-to-month,DSL,Credit card,No,No,1
37,3,119.22,3,One year,Fiber optic,Mailed check,Yes,No,0
52,5,105.14,4,Month-to-month,DSL,Mailed check,No,No,1
65,5,40.85,5,Two year,Fiber optic,Bank transfer,No,No,0
42,7,113.06,0,One year,No,Mailed check,Yes,No,0
52,0,31.64,0,Month-to-month,Fiber optic,Bank transfer,Yes,No,0
42,6,101.74,6,Month-to-month,DSL,Bank transfer,Yes,Yes,0
46,0,58.06,0,One year,Fiber optic,Credit card,Yes,Yes,0
35,6,107.8,1,Two year,DSL,Mailed check,No,No,0
63,2,106.81,0,Month-to-month,No,Credit card,No,Yes,0
35,10,100.59,3,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
19,7,99.0,2,Two year,DSL,Bank transfer,Yes,No,0
52,2,50.47,3,One year,DSL,Bank transfer,Yes,No,0
33,0,28.09,5,Month-to-month,Fiber optic,Electronic check,No,No,0
58,7,60.3,5,Month-to-month,DSL,Electronic check,Yes,Yes,0
53,2,37.35,4,Month-to-month,Fiber optic,Electronic check,No,Yes,0
50,1,89.5,3,One year,DSL,Credit card,Yes,Yes,0
21,0,54.61,4,Month-to-month,DSL,Bank transfer,No,No,1
50,2,117.56,3,Two year,Fiber optic,Mailed check,No,Yes,0
31,1,84.1,2,Month-to-month,No,Credit card,Yes,No,0
38,1,102.25,3,Month-to-month,No,Credit card,No,No,1
65,5,33.25,1,One year,DSL,Credit card,No,No,0
37,0,106.2,1,Two year,Fiber optic,Mailed check,Yes,Yes,0
25,1,112.28,4,Two year,DSL,Bank transfer,No,No,0
24,5,68.71,0,Month-to-month,Fiber optic,Electronic check,Yes,No,0
20,2,80.63,7,One year,Fiber optic,Bank transfer,No,No,0
34,3,96.48,1,One year,No,Bank transfer,Yes,No,0
50,0,37.48,3,Month-to-month,No,Credit card,No,Yes,0
65,7,70.26,2,Month-to-month,Fiber optic,Credit card,No,No,1
29,6,59.87,0,Month-to-month,Fiber optic,Credit card,No,Yes,1
68,6,34.64,1,Month-to-month,No,Electronic check,No,Yes,0
39,2,56.75,4,Two year,Fiber optic,Electronic check,No,Yes,0
39,9,26.82,4,Month-to-month,DSL,Electronic check,Yes,No,0
63,9,22.58,2,Two year,DSL,Bank transfer,No,No,0
47,2,33.52,5,Month-to-month,Fiber optic,Credit card,No,Yes,1
55,1,116.31,1,One year,DSL,Mailed check,No,No,1
55,0,74.95,4,Month-to-month,DSL,Bank transfer,No,Yes,1
62,6,116.58,1,Month-to-month,DSL,Electronic check,No,No,1
68,6,63.25,1,Month-to-month,Fiber optic,Mailed check,No,Yes,1
25,1,51.18,2,Month-to-month,DSL,Mailed check,No,Yes,0
44,6,70.61,1,One year,DSL,Credit card,Yes,No,0
44,7,63.95,4,Month-to-month,DSL,Mailed check,Yes,Yes,1
51,0,30.57,2,One year,Fiber optic,Electronic check,Yes,No,0
38,8,84.08,1,Month-to-month,No,Credit card,No,Yes,0
47,6,41.6,1,Month-to-month,Fiber optic,Mailed check,Yes,No,1
50,2,81.96,1,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
45,7,85.02,2,Two year,No,Mailed check,No,No,0
64,6,35.2,2,One year,DSL,Bank transfer,Yes,No,0
50,10,26.13,0,Month-to-month,DSL,Bank transfer,No,Yes,0
22,7,98.08,2,Month-to-month,DSL,Electronic check,Yes,No,0
65,5,65.98,1,Month-to-month,DSL,Bank transfer,Yes,Yes,0
36,8,25.82,2,Two year,Fiber optic,Bank transfer,No,No,0
21,4,119.49,2,One year,No,Bank transfer,No,Yes,1
52,2,25.78,0,Month-to-month,Fiber optic,Mailed check,No,No,0
66,2,89.5,3,One year,Fiber optic,Mailed check,Yes,No,1
34,0,118.37,3,Month-to-month,No,Credit card,No,No,1
61,7,43.92,4,Two year,DSL,Mailed check,Yes,No,0
45,1,34.22,4,Month-to-month,DSL,Bank transfer,Yes,No,0
47,2,32.14,3,One year,Fiber optic,Mailed check,Yes,No,0
46,7,50.33,3,Month-to-month,Fiber optic,Electronic check,Yes,No,0
63,7,30.1,3,One year,DSL,Credit card,Yes,No,0
70,10,89.22,2,One year,Fiber optic,Credit card,Yes,Yes,1
23,3,26.23,3,One year,Fiber optic,Mailed check,No,No,0
52,3,70.94,2,One year,Fiber optic,Bank transfer,Yes,No,1
58,4,119.67,1,Two year,Fiber optic,Credit card,Yes,No,0
54,5,101.4,1,Month-to-month,DSL,Electronic check,Yes,No,1
41,4,81.52,1,Month-to-month,DSL,Electronic check,No,Yes,1
46,6,50.63,2,Month-to-month,Fiber optic,Credit card,Yes,No,0
66,1,82.39,3,Two year,DSL,Bank transfer,No,Yes,1
63,6,72.7,2,Month-to-month,No,Bank transfer,No,Yes,0
70,9,62.61,0,One year,Fiber optic,Mailed check,Yes,Yes,0
48,6,33.07,3,One year,DSL,Mailed check,No,No,0
52,0,108.66,2,Month-to-month,Fiber optic,Credit card,Yes,Yes,1
50,6,64.98,2,Month-to-month,Fiber optic,Mailed check,No,Yes,1
69,4,39.46,0,Month-to-month,DSL,Mailed check,Yes,No,0
38,2,56.78,4,Month-to-month,Fiber optic,Mailed check,Yes,Yes,0
49,2,61.41,2,Month-to-month,No,Electronic check,Yes,Yes,0
40,3,102.75,2,Month-to-month,Fiber optic,Mailed check,No,Yes,0
50,1,93.36,1,Two year,DSL,Credit card,Yes,Yes,0
20,1,96.93,2,Two year,Fiber optic,Bank transfer,Yes,No,1
35,0,21.1,2,Month-to-month,Fiber optic,Mailed check,No,Yes,0
42,4,61.62,4,Month-to-month,DSL,Bank transfer,No,No,1
59,3,68.13,2,Month-to-month,DSL,Mailed check,No,No,0
